cCRE_class,fg_n,bg_n,fg_pct,bg_pct,fold,ci_lo,ci_hi,odds_ratio,fisher_p
Promoter,685,1542,2.53,0.84,3.002,2.746,3.282,3.054,1.2290607711405889e-108
Proximal enhancer,1885,6606,6.97,3.61,1.928,1.835,2.026,1.998,4.690293739426599e-129
CA-H3K4me3,248,1193,0.92,0.65,1.405,1.226,1.61,1.409,2.5285512115929146e-6
Distal enhancer,6500,31559,24.04,17.27,1.392,1.36,1.425,1.516,2.4300434680945344e-150
CA-TF,84,483,0.31,0.26,1.175,0.933,1.481,1.176,0.16765706390740814
CA-CTCF,255,1719,0.94,0.94,1.003,0.88,1.143,1.003,0.9730776830767996
TF,351,2465,1.3,1.35,0.962,0.861,1.075,0.962,0.5149910204074198
CA,464,3546,1.72,1.94,0.884,0.803,0.973,0.882,0.011648549614975435
